player_name,season,expected_goals,actual_goals,expected_assists,actual_assists
Ludovic Butelle,2015-2016,0,0,0,0
Gaetan Laborde,2015-2016,0.05554144829511642,0,0,0
Boschilia,2015-2016,0.5271108746528625,0,0.06709800660610199,0
Erin Pinheiro,2015-2016,0.01246000919491052,0,0,0
Thomas Henry,2015-2016,0,0,0,0
Eddy Maanane,2015-2016,0,0,0,0
Issiar Dia,2015-2016,0.3432238716632128,0,0.12104760110378264,0
Lyes Houri,2015-2016,0.02057970874011516,0,0,0
Jeremy Livolant,2015-2016,0,0,0.0436631515622139,0
Jonathan Correia,2015-2016,0,0,0.35324910283088684,0
Ali Ahamada,2015-2016,0,0,0,0
Francois Clerc,2015-2016,0.10124590899795294,0,0.8178430832922459,1
Yaw Yeboah,2015-2016,0,0,0.08275648951530457,0
Kevin Soni,2015-2016,0.01881401240825653,0,0,0
Ilias Hassani,2015-2016,0,0,0,0
Quentin Cornette,2015-2016,0.212063979357481,0,0.03916044905781746,0
Julien Begue,2015-2016,0.6229464411735535,0,0.8760920166969299,1
Nolan Mbemba,2015-2016,0,0,0,0
Alexis Araujo,2015-2016,0,0,0.03144226595759392,0
Diego Gomez,2015-2016,0.01713458634912967,0,0,0
Albert Rafetraniaina,2015-2016,0,0,0,0
Youssef Benali,2015-2016,0,0,0,0
Mouhamadou Habib Habibou,2015-2016,0,0,0,0
Ryan Mendes,2015-2016,0.01215311232954263,0,0.07248573005199432,0
Wesley Said,2015-2016,0,0,0.08666586875915527,0
Steve Mounie,2015-2016,0,0,0.01281162910163402,0
Olivier Veigneau,2015-2016,0,0,0.0728784054517746,0
Simon Pouplin,2015-2016,0,0,0,0
Grégory Sertic,2015-2016,0,0,0,0
Franck Zambo,2015-2016,0.2367862518876791,0,0.11994878202676772,0
Harry Kane,2016-2017,19.82009919732809,29,5.5538915153592825,7
Romelu Lukaku,2016-2017,16.665452419780195,25,5.440816408023238,6
Alexis Sánchez,2016-2017,17.724449135363102,24,8.988117071799934,10
Sergio Agüero,2016-2017,22.672585003077984,20,4.665906261652708,3
Diego Costa,2016-2017,15.43179700151086,20,4.912058966234326,7
Dele Alli,2016-2017,14.708572203293445,18,4.573811644688249,7
Zlatan Ibrahimovic,2016-2017,14.637966640293598,17,5.118233239278197,5
Joshua King,2016-2017,10.911753680557013,16,2.409230097196996,2
Eden Hazard,2016-2017,11.032845260575414,16,6.440569620579481,5
Christian Benteke,2016-2017,17.355857238173485,15,2.058575801551342,2
Jermain Defoe,2016-2017,13.647569719702004,15,1.3696135636419058,2
Fernando Llorente,2016-2017,8.028606227599084,15,2.0905658253468573,1
Son Heung-Min,2016-2017,7.7653309646993876,14,4.6964171743020415,6
Philippe Coutinho,2016-2017,8.867860797792673,13,6.25872527807951,7
Jamie Vardy,2016-2017,9.947158509865403,13,4.6759524792432785,5
Sadio Mané,2016-2017,9.48092144355178,13,4.445210799574852,5
Olivier Giroud,2016-2017,6.9990871623158455,12,2.0118068866431713,3
Roberto Firmino,2016-2017,10.36466862168163,11,7.852919233031571,7
Theo Walcott,2016-2017,9.90147614851594,10,2.525607186369598,2
Troy Deeney,2016-2017,8.593499574810266,10,3.109724134206772,4
Sam Vokes,2016-2017,8.347451165318489,10,1.529019863344729,3
Michail Antonio,2016-2017,9.790298977866769,9,3.3898435942828655,3
Pedro,2016-2017,5.991285152733326,9,5.526838848367333,9
Gylfi Sigurdsson,2016-2017,8.569290215149522,9,8.26896715350449,13
Andre Gray,2016-2017,7.5646293964236975,9,1.4715806897729635,3
Álvaro Negredo,2016-2017,8.803118656389415,9,4.100407935678959,4
Adam Lallana,2016-2017,4.506964704953134,8,4.11239049769938,7
Mesut Özil,2016-2017,5.606559839099646,8,8.070466492325068,9
Manuel Lanzini,2016-2017,6.071730084717274,8,4.0067572221159935,2
Christian Eriksen,2016-2017,8.864706524647772,8,11.74069780483842,15
Willian,2016-2017,3.756879383698106,8,3.064137725159526,2
Salomón Rondón,2016-2017,9.357964286580682,8,2.852167099714279,2
Junior Stanislas,2016-2017,4.84796876180917,7,3.854853673838079,5
